2015-07-10 20:03:43 startup archives install
2015-07-10 20:03:43 install base-passwd:armhf <none> 3.5.37
2015-07-10 20:03:43 status half-installed base-passwd:armhf 3.5.37
2015-07-10 20:03:44 status unpacked base-passwd:armhf 3.5.37
2015-07-10 20:03:44 status unpacked base-passwd:armhf 3.5.37
2015-07-10 20:03:44 configure base-passwd:armhf 3.5.37 3.5.37
2015-07-10 20:03:44 status unpacked base-passwd:armhf 3.5.37
2015-07-10 20:03:44 status half-configured base-passwd:armhf 3.5.37
2015-07-10 20:03:46 status installed base-passwd:armhf 3.5.37
2015-07-10 20:03:46 startup archives install
2015-07-10 20:03:46 install base-files:armhf <none> 8+deb8u1
2015-07-10 20:03:46 status half-installed base-files:armhf 8+deb8u1
2015-07-10 20:03:47 status unpacked base-files:armhf 8+deb8u1
2015-07-10 20:03:47 status unpacked base-files:armhf 8+deb8u1
2015-07-10 20:03:47 configure base-files:armhf 8+deb8u1 8+deb8u1
2015-07-10 20:03:47 status unpacked base-files:armhf 8+deb8u1
2015-07-10 20:03:47 status unpacked base-files:armhf 8+deb8u1
2015-07-10 20:03:47 status unpacked base-files:armhf 8+deb8u1
2015-07-10 20:03:47 status unpacked base-files:armhf 8+deb8u1
2015-07-10 20:03:47 status unpacked base-files:armhf 8+deb8u1
2015-07-10 20:03:47 status unpacked base-files:armhf 8+deb8u1
2015-07-10 20:03:47 status half-configured base-files:armhf 8+deb8u1
2015-07-10 20:03:50 status installed base-files:armhf 8+deb8u1
2015-07-10 20:03:50 startup archives install
2015-07-10 20:03:50 upgrade dpkg 1.17.25 1.17.25
2015-07-10 20:03:50 status half-configured dpkg 1.17.25
2015-07-10 20:03:50 status unpacked dpkg 1.17.25
2015-07-10 20:03:50 status half-installed dpkg 1.17.25
2015-07-10 20:03:52 status half-installed dpkg 1.17.25
2015-07-10 20:03:52 status unpacked dpkg 1.17.25
2015-07-10 20:03:52 status unpacked dpkg 1.17.25
2015-07-10 20:03:52 configure dpkg 1.17.25 1.17.25
2015-07-10 20:03:52 status unpacked dpkg 1.17.25
2015-07-10 20:03:52 status unpacked dpkg 1.17.25
2015-07-10 20:03:52 status unpacked dpkg 1.17.25
2015-07-10 20:03:52 status unpacked dpkg 1.17.25
2015-07-10 20:03:52 status unpacked dpkg 1.17.25
2015-07-10 20:03:53 status half-configured dpkg 1.17.25
2015-07-10 20:03:53 status installed dpkg 1.17.25
2015-07-10 20:03:53 startup archives install
2015-07-10 20:03:53 install libc6:armhf <none> 2.19-18
2015-07-10 20:03:53 status half-installed libc6:armhf 2.19-18
2015-07-10 20:03:56 status unpacked libc6:armhf 2.19-18
2015-07-10 20:03:56 status unpacked libc6:armhf 2.19-18
2015-07-10 20:03:56 configure libc6:armhf 2.19-18 2.19-18
2015-07-10 20:03:56 status unpacked libc6:armhf 2.19-18
2015-07-10 20:03:56 status unpacked libc6:armhf 2.19-18
2015-07-10 20:03:56 status half-configured libc6:armhf 2.19-18
2015-07-10 20:03:58 status installed libc6:armhf 2.19-18
2015-07-10 20:03:58 startup archives install
2015-07-10 20:03:58 install perl-base:armhf <none> 5.20.2-3+deb8u1
2015-07-10 20:03:58 status half-installed perl-base:armhf 5.20.2-3+deb8u1
2015-07-10 20:04:02 status unpacked perl-base:armhf 5.20.2-3+deb8u1
2015-07-10 20:04:02 status unpacked perl-base:armhf 5.20.2-3+deb8u1
2015-07-10 20:04:03 configure perl-base:armhf 5.20.2-3+deb8u1 5.20.2-3+deb8u1
2015-07-10 20:04:03 status unpacked perl-base:armhf 5.20.2-3+deb8u1
2015-07-10 20:04:03 status half-configured perl-base:armhf 5.20.2-3+deb8u1
2015-07-10 20:04:03 status installed perl-base:armhf 5.20.2-3+deb8u1
2015-07-10 20:04:03 startup archives install
2015-07-10 20:04:03 install mawk:armhf <none> 1.3.3-17
2015-07-10 20:04:03 status half-installed mawk:armhf 1.3.3-17
2015-07-10 20:04:03 status unpacked mawk:armhf 1.3.3-17
2015-07-10 20:04:03 status unpacked mawk:armhf 1.3.3-17
2015-07-10 20:04:03 configure mawk:armhf 1.3.3-17 1.3.3-17
2015-07-10 20:04:03 status unpacked mawk:armhf 1.3.3-17
2015-07-10 20:04:03 status half-configured mawk:armhf 1.3.3-17
2015-07-10 20:04:03 status installed mawk:armhf 1.3.3-17
2015-07-10 20:04:04 startup archives unpack
2015-07-10 20:04:04 install acl:armhf <none> 2.2.52-2
2015-07-10 20:04:04 status half-installed acl:armhf 2.2.52-2
2015-07-10 20:04:05 status unpacked acl:armhf 2.2.52-2
2015-07-10 20:04:05 status unpacked acl:armhf 2.2.52-2
2015-07-10 20:04:05 install libacl1:armhf <none> 2.2.52-2
2015-07-10 20:04:05 status half-installed libacl1:armhf 2.2.52-2
2015-07-10 20:04:05 status unpacked libacl1:armhf 2.2.52-2
2015-07-10 20:04:05 status unpacked libacl1:armhf 2.2.52-2
2015-07-10 20:04:05 install adduser:all <none> 3.113+nmu3
2015-07-10 20:04:05 status half-installed adduser:all 3.113+nmu3
2015-07-10 20:04:06 status unpacked adduser:all 3.113+nmu3
2015-07-10 20:04:06 status unpacked adduser:all 3.113+nmu3
2015-07-10 20:04:07 install libattr1:armhf <none> 1:2.4.47-2
2015-07-10 20:04:07 status half-installed libattr1:armhf 1:2.4.47-2
2015-07-10 20:04:07 status unpacked libattr1:armhf 1:2.4.47-2
2015-07-10 20:04:07 status unpacked libattr1:armhf 1:2.4.47-2
2015-07-10 20:04:07 install libaudit-common:all <none> 1:2.4-1
2015-07-10 20:04:07 status half-installed libaudit-common:all 1:2.4-1
2015-07-10 20:04:07 status unpacked libaudit-common:all 1:2.4-1
2015-07-10 20:04:07 status unpacked libaudit-common:all 1:2.4-1
2015-07-10 20:04:07 install libaudit1:armhf <none> 1:2.4-1+b1
2015-07-10 20:04:07 status half-installed libaudit1:armhf 1:2.4-1+b1
2015-07-10 20:04:07 status unpacked libaudit1:armhf 1:2.4-1+b1
2015-07-10 20:04:07 status unpacked libaudit1:armhf 1:2.4-1+b1
2015-07-10 20:04:07 upgrade base-files:armhf 8+deb8u1 8+deb8u1
2015-07-10 20:04:07 status half-configured base-files:armhf 8+deb8u1
2015-07-10 20:04:07 status unpacked base-files:armhf 8+deb8u1
2015-07-10 20:04:07 status half-installed base-files:armhf 8+deb8u1
2015-07-10 20:04:07 status half-installed base-files:armhf 8+deb8u1
2015-07-10 20:04:07 status unpacked base-files:armhf 8+deb8u1
2015-07-10 20:04:07 status unpacked base-files:armhf 8+deb8u1
2015-07-10 20:04:07 upgrade base-passwd:armhf 3.5.37 3.5.37
2015-07-10 20:04:07 status half-configured base-passwd:armhf 3.5.37
2015-07-10 20:04:07 status unpacked base-passwd:armhf 3.5.37
2015-07-10 20:04:07 status half-installed base-passwd:armhf 3.5.37
2015-07-10 20:04:07 status half-installed base-passwd:armhf 3.5.37
2015-07-10 20:04:08 status unpacked base-passwd:armhf 3.5.37
2015-07-10 20:04:08 status unpacked base-passwd:armhf 3.5.37
2015-07-10 20:04:08 install bash:armhf <none> 4.3-11+b1
2015-07-10 20:04:08 status half-installed bash:armhf 4.3-11+b1
2015-07-10 20:04:09 status unpacked bash:armhf 4.3-11+b1
2015-07-10 20:04:09 status unpacked bash:armhf 4.3-11+b1
2015-07-10 20:04:09 install libbz2-1.0:armhf <none> 1.0.6-7+b3
